secMarkDecoded,msgCountDecoded,Vehicle ID,Vehicle ID in hex,Lat.,Long.,Elevation,Speed,Heading,Width,Length,Acc._Long.,Acc._Lat.
1666986621.4950197,0,0,0,42.2293266886,-83.7402529847,0,0,0,0,0,0,0
1666986621.515246,0,0,0,42.2293267007,-83.7402508549,0,0,0,0,0,0,0
1666986621.5351017,0,0,0,42.2293267159,-83.7402487271,0,0,0,0,0,0,0
1666986621.5550945,0,0,0,42.2293267286,-83.740246595,0,0,0,0,0,0,0
1666986621.575087,0,0,0,42.2293267407,-83.740244465,0,0,0,0,0,0,0
1666986621.5950582,0,0,0,42.2293267571,-83.7402423377,0,0,0,0,0,0,0
1666986621.6150563,0,0,0,42.2293267732,-83.7402402086,0,0,0,0,0,0,0
1666986621.6349952,0,0,0,42.2293267902,-83.740238081,0,0,0,0,0,0,0
1666986621.6550746,0,0,0,42.229326809,-83.7402359543,0,0,0,0,0,0,0
1666986621.6751113,0,0,0,42.2293268263,-83.7402338267,0,0,0,0,0,0,0
1666986621.6951132,0,0,0,42.229326842,-83.740231698,0,0,0,0,0,0,0
1666986621.7150822,0,0,0,42.2293268612,-83.7402295716,0,0,0,0,0,0,0
1666986621.7350783,0,0,0,42.2293268786,-83.7402274445,0,0,0,0,0,0,0
1666986621.7549787,0,0,0,42.2293268985,-83.7402253138,0,0,0,0,0,0,0
1666986621.7751355,0,0,0,42.2293269201,-83.7402231885,0,0,0,0,0,0,0
1666986621.7950435,0,0,0,42.2293269432,-83.7402210609,0,0,0,0,0,0,0
1666986621.8149912,0,0,0,42.2293269669,-83.7402189338,0,0,0,0,0,0,0
1666986621.8350425,0,0,0,42.2293269923,-83.7402168102,0,0,0,0,0,0,0
1666986621.8549879,0,0,0,42.2293270183,-83.7402146838,0,0,0,0,0,0,0
1666986621.8750088,0,0,0,42.2293270437,-83.7402125586,0,0,0,0,0,0,0
1666986621.8950787,0,0,0,42.2293270707,-83.7402104354,0,0,0,0,0,0,0
1666986621.9150145,0,0,0,42.2293270948,-83.7402083079,0,0,0,0,0,0,0
1666986621.934976,0,0,0,42.2293271194,-83.740206181,0,0,0,0,0,0,0
1666986621.9550786,0,0,0,42.2293271454,-83.7402040585,0,0,0,0,0,0,0
1666986621.975007,0,0,0,42.2293271694,-83.7402019334,0,0,0,0,0,0,0
1666986621.9950547,0,0,0,42.2293271963,-83.7401998114,0,0,0,0,0,0,0
1666986622.0152571,0,0,0,42.2293272222,-83.7401976915,0,0,0,0,0,0,0
1666986622.035091,0,0,0,42.2293272485,-83.7401955718,0,0,0,0,0,0,0
1666986622.0550435,0,0,0,42.229327275,-83.7401934532,0,0,0,0,0,0,0
1666986622.0750394,0,0,0,42.2293273022,-83.7401913343,0,0,0,0,0,0,0
1666986622.0950656,0,0,0,42.2293273255,-83.7401892168,0,0,0,0,0,0,0
1666986622.1150522,0,0,0,42.229327349,-83.7401870998,0,0,0,0,0,0,0
1666986622.1351361,0,0,0,42.2293273771,-83.7401849852,0,0,0,0,0,0,0
1666986622.1550295,0,0,0,42.2293274024,-83.7401828706,0,0,0,0,0,0,0
1666986622.1751022,0,0,0,42.2293274285,-83.7401807575,0,0,0,0,0,0,0
1666986622.1952,0,0,0,42.2293274585,-83.7401786458,0,0,0,0,0,0,0
1666986622.2150118,0,0,0,42.2293274881,-83.7401765326,0,0,0,0,0,0,0
1666986622.2349586,0,0,0,42.2293275186,-83.7401744206,0,0,0,0,0,0,0
1666986622.2549975,0,0,0,42.2293275514,-83.7401723099,0,0,0,0,0,0,0
1666986622.2749949,0,0,0,42.2293275836,-83.7401701994,0,0,0,0,0,0,0
1666986622.2950227,0,0,0,42.2293276217,-83.7401680891,0,0,0,0,0,0,0
1666986622.3149924,0,0,0,42.2293276566,-83.740165981,0,0,0,0,0,0,0
1666986622.3349593,0,0,0,42.2293276964,-83.740163874,0,0,0,0,0,0,0
1666986622.3550003,0,0,0,42.229327735,-83.7401617653,0,0,0,0,0,0,0
1666986622.3751016,0,0,0,42.2293277701,-83.7401596614,0,0,0,0,0,0,0
1666986622.3949852,0,0,0,42.2293278062,-83.7401575566,0,0,0,0,0,0,0
1666986622.4149542,0,0,0,42.2293278426,-83.7401554529,0,0,0,0,0,0,0
1666986622.4350014,0,0,0,42.2293278805,-83.7401533524,0,0,0,0,0,0,0
1666986622.4550202,0,0,0,42.2293279187,-83.74015125,0,0,0,0,0,0,0
1666986622.474957,0,0,0,42.2293279579,-83.7401491494,0,0,0,0,0,0,0
1666986622.495098,0,0,0,42.2293279976,-83.7401470514,0,0,0,0,0,0,0
1666986622.5149736,0,0,0,42.2293280378,-83.7401449506,0,0,0,0,0,0,0
1666986622.5350766,0,0,0,42.229328077,-83.7401428516,0,0,0,0,0,0,0
1666986622.555104,0,0,0,42.2293281177,-83.7401407547,0,0,0,0,0,0,0
1666986622.5749896,0,0,0,42.2293281589,-83.7401386577,0,0,0,0,0,0,0
1666986622.595005,0,0,0,42.2293282008,-83.7401365597,0,0,0,0,0,0,0
1666986622.6150954,0,0,0,42.2293282429,-83.7401344665,0,0,0,0,0,0,0
1666986622.634988,0,0,0,42.2293282864,-83.7401323716,0,0,0,0,0,0,0
1666986622.6550145,0,0,0,42.2293283299,-83.7401302768,0,0,0,0,0,0,0
1666986622.6750379,0,0,0,42.2293283724,-83.7401281843,0,0,0,0,0,0,0
1666986622.6950653,0,0,0,42.2293284167,-83.7401260895,0,0,0,0,0,0,0
1666986622.714965,0,0,0,42.2293284605,-83.7401239945,0,0,0,0,0,0,0
1666986622.735052,0,0,0,42.2293285046,-83.7401219059,0,0,0,0,0,0,0
1666986622.7549708,0,0,0,42.2293285504,-83.7401198115,0,0,0,0,0,0,0
1666986622.775049,0,0,0,42.2293285958,-83.740117719,0,0,0,0,0,0,0
1666986622.795013,0,0,0,42.2293286421,-83.7401156303,0,0,0,0,0,0,0
1666986622.8149436,0,0,0,42.2293286904,-83.7401135383,0,0,0,0,0,0,0
1666986622.8349714,0,0,0,42.2293287397,-83.7401114483,0,0,0,0,0,0,0
1666986622.855051,0,0,0,42.2293287867,-83.7401093608,0,0,0,0,0,0,0
1666986622.8749595,0,0,0,42.2293288358,-83.7401072707,0,0,0,0,0,0,0
1666986622.8950005,0,0,0,42.2293288855,-83.7401051811,0,0,0,0,0,0,0
1666986622.9150567,0,0,0,42.2293289339,-83.7401030948,0,0,0,0,0,0,0
1666986622.9349713,0,0,0,42.2293289836,-83.7401010065,0,0,0,0,0,0,0
1666986622.9549754,0,0,0,42.2293290344,-83.7400989186,0,0,0,0,0,0,0
1666986622.975004,0,0,0,42.2293290852,-83.740096834,0,0,0,0,0,0,0
1666986622.994975,0,0,0,42.2293291395,-83.7400947474,0,0,0,0,0,0,0
1666986623.0150898,0,0,0,42.2293291931,-83.7400926603,0,0,0,0,0,0,0
1666986623.0350394,0,0,0,42.2293292447,-83.7400905786,0,0,0,0,0,0,0
1666986623.055035,0,0,0,42.2293293,-83.7400884918,0,0,0,0,0,0,0
1666986623.0751317,0,0,0,42.229329354,-83.7400864067,0,0,0,0,0,0,0
1666986623.094999,0,0,0,42.2293294078,-83.7400843257,0,0,0,0,0,0,0
1666986623.114976,0,0,0,42.2293294609,-83.7400822382,0,0,0,0,0,0,0
1666986623.1349492,0,0,0,42.2293295151,-83.740080151,0,0,0,0,0,0,0
1666986623.1550279,0,0,0,42.2293295696,-83.7400780686,0,0,0,0,0,0,0
1666986623.1749039,0,0,0,42.229329626,-83.7400759815,0,0,0,0,0,0,0
1666986623.1950428,0,0,0,42.2293296856,-83.7400738923,0,0,0,0,0,0,0
1666986623.215017,0,0,0,42.2293297429,-83.7400718102,0,0,0,0,0,0,0
1666986623.2349315,0,0,0,42.229329804,-83.7400697229,0,0,0,0,0,0,0
1666986623.2549658,0,0,0,42.2293298649,-83.7400676349,0,0,0,0,0,0,0
1666986623.2750196,0,0,0,42.2293299232,-83.7400655525,0,0,0,0,0,0,0
1666986623.2949734,0,0,0,42.2293299828,-83.7400634637,0,0,0,0,0,0,0
1666986623.315003,0,0,0,42.2293300409,-83.7400613752,0,0,0,0,0,0,0
1666986623.3349926,0,0,0,42.2293301011,-83.7400592907,0,0,0,0,0,0,0
1666986623.3550084,0,0,0,42.2293301618,-83.7400572016,0,0,0,0,0,0,0
1666986623.3749456,0,0,0,42.229330226,-83.7400551139,0,0,0,0,0,0,0
1666986623.3949604,0,0,0,42.2293302863,-83.7400530299,0,0,0,0,0,0,0
1666986623.4150271,0,0,0,42.2293303514,-83.7400509417,0,0,0,0,0,0,0
1666986623.434939,0,0,0,42.2293304167,-83.7400488538,0,0,0,0,0,0,0
1666986623.454963,0,0,0,42.2293304789,-83.74004677,0,0,0,0,0,0,0
1666986623.47495,0,0,0,42.2293305446,-83.7400446817,0,0,0,0,0,0,0
1666986623.4950006,0,0,0,42.2293306082,-83.7400425916,0,0,0,0,0,0,0
1666986623.5151036,0,0,0,42.2293306726,-83.7400405085,0,0,0,0,0,0,0
1666986623.535006,0,0,0,42.2293307372,-83.7400384172,0,0,0,0,0,0,0
1666986623.5550628,0,0,0,42.2293307988,-83.7400363253,0,0,0,0,0,0,0
1666986623.575042,0,0,0,42.2293308621,-83.7400342415,0,0,0,0,0,0,0
1666986623.5950131,0,0,0,42.229330928,-83.740032151,0,0,0,0,0,0,0
1666986623.6149857,0,0,0,42.2293309948,-83.7400300605,0,0,0,0,0,0,0
1666986623.635017,0,0,0,42.2293310594,-83.740027977,0,0,0,0,0,0,0
1666986623.6549435,0,0,0,42.229331127,-83.7400258878,0,0,0,0,0,0,0
1666986623.6749983,0,0,0,42.2293311946,-83.7400237979,0,0,0,0,0,0,0
1666986623.695043,0,0,0,42.2293312608,-83.7400217153,0,0,0,0,0,0,0
1666986623.71494,0,0,0,42.2293313266,-83.7400196262,0,0,0,0,0,0,0
1666986623.7349467,0,0,0,42.2293313924,-83.740017539,0,0,0,0,0,0,0
1666986623.7549958,0,0,0,42.2293314615,-83.7400154558,0,0,0,0,0,0,0
1666986623.774895,0,0,0,42.2293315291,-83.7400133678,0,0,0,0,0,0,0
1666986623.7949355,0,0,0,42.2293316005,-83.740011278,0,0,0,0,0,0,0
1666986623.815007,0,0,0,42.2293316696,-83.7400091936,0,0,0,0,0,0,0
1666986623.8349257,0,0,0,42.2293317416,-83.7400071044,0,0,0,0,0,0,0
1666986623.8549254,0,0,0,42.2293318146,-83.740005016,0,0,0,0,0,0,0
1666986623.8752189,0,0,0,42.229331885,-83.7400029324,0,0,0,0,0,0,0
1666986623.8948836,0,0,0,42.229331956,-83.740000843,0,0,0,0,0,0,0
1666986623.9149399,0,0,0,42.2293320281,-83.7399987528,0,0,0,0,0,0,0
1666986623.9349847,0,0,0,42.2293320993,-83.7399966696,0,0,0,0,0,0,0
1666986623.9549513,0,0,0,42.2293321721,-83.7399945814,0,0,0,0,0,0,0
1666986623.9749982,0,0,0,42.2293322436,-83.7399924925,0,0,0,0,0,0,0
1666986623.9950416,0,0,0,42.2293323154,-83.7399904104,0,0,0,0,0,0,0
1666986624.0149722,0,0,0,42.2293323924,-83.7399883241,0,0,0,0,0,0,0
1666986624.0350244,0,0,0,42.229332468,-83.7399862371,0,0,0,0,0,0,0
1666986624.0550835,0,0,0,42.2293325389,-83.7399841543,0,0,0,0,0,0,0
1666986624.0749576,0,0,0,42.2293326147,-83.7399820685,0,0,0,0,0,0,0
1666986624.0949552,0,0,0,42.229332687,-83.7399799772,0,0,0,0,0,0,0
1666986624.11504,0,0,0,42.2293327589,-83.7399778953,0,0,0,0,0,0,0
1666986624.134919,0,0,0,42.2293328325,-83.7399758059,0,0,0,0,0,0,0
1666986624.154942,0,0,0,42.2293329054,-83.7399737156,0,0,0,0,0,0,0
1666986624.1749954,0,0,0,42.2293329774,-83.7399716337,0,0,0,0,0,0,0
1666986624.1950881,0,0,0,42.2293330569,-83.739969548,0,0,0,0,0,0,0
1666986624.214886,0,0,0,42.2293331325,-83.7399674608,0,0,0,0,0,0,0
1666986624.2350128,0,0,0,42.2293332067,-83.7399653808,0,0,0,0,0,0,0
1666986624.2549343,0,0,0,42.2293332857,-83.7399632945,0,0,0,0,0,0,0
1666986624.2750208,0,0,0,42.2293333659,-83.7399612014,0,0,0,0,0,0,0
1666986624.294938,0,0,0,42.2293334414,-83.7399591205,0,0,0,0,0,0,0
1666986624.314905,0,0,0,42.2293335212,-83.7399570305,0,0,0,0,0,0,0
1666986624.3349085,0,0,0,42.229333601,-83.7399549429,0,0,0,0,0,0,0
1666986624.3549607,0,0,0,42.229333679,-83.7399528582,0,0,0,0,0,0,0
1666986624.37499,0,0,0,42.2293337593,-83.7399507696,0,0,0,0,0,0,0
1666986624.39492,0,0,0,42.2293338415,-83.7399486775,0,0,0,0,0,0,0
1666986624.41499,0,0,0,42.2293339186,-83.7399465944,0,0,0,0,0,0,0
1666986624.4349756,0,0,0,42.2293339995,-83.7399445034,0,0,0,0,0,0,0
1666986624.4549568,0,0,0,42.2293340834,-83.7399424143,0,0,0,0,0,0,0
1666986624.474999,0,0,0,42.2293341611,-83.7399403323,0,0,0,0,0,0,0
1666986624.4949687,0,0,0,42.2293342435,-83.7399382429,0,0,0,0,0,0,0
1666986624.5149581,0,0,0,42.2293343274,-83.7399361523,0,0,0,0,0,0,0
1666986624.5350325,0,0,0,42.2293344038,-83.7399340711,0,0,0,0,0,0,0
1666986624.5550272,0,0,0,42.2293344861,-83.73993198,0,0,0,0,0,0,0
1666986624.57494,0,0,0,42.2293345657,-83.7399298909,0,0,0,0,0,0,0
1666986624.595005,0,0,0,42.2293346408,-83.7399278073,0,0,0,0,0,0,0
1666986624.614932,0,0,0,42.2293347208,-83.739925718,0,0,0,0,0,0,0
1666986624.6349025,0,0,0,42.2293348003,-83.7399236281,0,0,0,0,0,0,0
1666986624.6549637,0,0,0,42.2293348764,-83.7399215455,0,0,0,0,0,0,0
1666986624.6749175,0,0,0,42.2293349577,-83.7399194565,0,0,0,0,0,0,0
1666986624.6949918,0,0,0,42.2293350406,-83.7399173644,0,0,0,0,0,0,0
1666986624.7150002,0,0,0,42.2293351181,-83.7399152813,0,0,0,0,0,0,0
1666986624.734993,0,0,0,42.2293352021,-83.7399131892,0,0,0,0,0,0,0
1666986624.7549388,0,0,0,42.2293352856,-83.7399110988,0,0,0,0,0,0,0
1666986624.7750094,0,0,0,42.2293353648,-83.739909015,0,0,0,0,0,0,0
1666986624.7949567,0,0,0,42.2293354485,-83.7399069234,0,0,0,0,0,0,0
1666986624.8149362,0,0,0,42.2293355321,-83.7399048311,0,0,0,0,0,0,0
1666986624.834923,0,0,0,42.2293356113,-83.7399027464,0,0,0,0,0,0,0
1666986624.854894,0,0,0,42.229335695,-83.7399006531,0,0,0,0,0,0,0
1666986624.8749342,0,0,0,42.2293357781,-83.7398985605,0,0,0,0,0,0,0
1666986624.8949797,0,0,0,42.2293358573,-83.7398964735,0,0,0,0,0,0,0
1666986624.9149005,0,0,0,42.2293359423,-83.73989438,0,0,0,0,0,0,0
1666986624.9349189,0,0,0,42.2293360272,-83.7398922867,0,0,0,0,0,0,0
1666986624.9549642,0,0,0,42.229336108,-83.7398901978,0,0,0,0,0,0,0
1666986624.9749007,0,0,0,42.2293361927,-83.7398881035,0,0,0,0,0,0,0
1666986624.9949906,0,0,0,42.2293362782,-83.7398860044,0,0,0,0,0,0,0
1666986625.0150166,0,0,0,42.2293363582,-83.7398839133,0,0,0,0,0,0,0
1666986625.0350199,0,0,0,42.2293364432,-83.7398818121,0,0,0,0,0,0,0
1666986625.0549757,0,0,0,42.2293365279,-83.7398797101,0,0,0,0,0,0,0
1666986625.0750053,0,0,0,42.2293366072,-83.739877619,0,0,0,0,0,0,0
1666986625.094959,0,0,0,42.2293366927,-83.73987552,0,0,0,0,0,0,0
1666986625.1149015,0,0,0,42.2293367787,-83.7398734213,0,0,0,0,0,0,0
1666986625.1349573,0,0,0,42.2293368591,-83.7398713301,0,0,0,0,0,0,0
1666986625.1549127,0,0,0,42.229336945,-83.7398692318,0,0,0,0,0,0,0
1666986625.1749344,0,0,0,42.2293370315,-83.7398671335,0,0,0,0,0,0,0
1666986625.1950035,0,0,0,42.2293371125,-83.739865043,0,0,0,0,0,0,0
1666986625.2149246,0,0,0,42.2293371996,-83.7398629443,0,0,0,0,0,0,0
1666986625.2348816,0,0,0,42.2293372872,-83.7398608464,0,0,0,0,0,0,0
1666986625.2549038,0,0,0,42.2293373696,-83.7398587552,0,0,0,0,0,0,0
1666986625.2749379,0,0,0,42.2293374586,-83.7398566563,0,0,0,0,0,0,0
1666986625.2949526,0,0,0,42.2293375476,-83.739854557,0,0,0,0,0,0,0
1666986625.3148577,0,0,0,42.2293376293,-83.7398524661,0,0,0,0,0,0,0
1666986625.334862,0,0,0,42.2293377179,-83.7398503675,0,0,0,0,0,0,0
1666986625.3549347,0,0,0,42.2293378063,-83.7398482694,0,0,0,0,0,0,0
1666986625.3750439,0,0,0,42.2293378882,-83.7398461784,0,0,0,0,0,0,0
1666986625.3949497,0,0,0,42.2293379767,-83.7398440805,0,0,0,0,0,0,0
1666986625.4148467,0,0,0,42.2293380653,-83.7398419826,0,0,0,0,0,0,0
1666986625.4349132,0,0,0,42.2293381477,-83.7398398914,0,0,0,0,0,0,0
1666986625.4548943,0,0,0,42.2293382358,-83.7398377936,0,0,0,0,0,0,0
1666986625.4749002,0,0,0,42.2293383234,-83.7398356959,0,0,0,0,0,0,0
1666986625.4950643,0,0,0,42.2293384052,-83.7398336041,0,0,0,0,0,0,0
1666986625.5148904,0,0,0,42.229338491,-83.7398315067,0,0,0,0,0,0,0
1666986625.5349712,0,0,0,42.2293385775,-83.7398294071,0,0,0,0,0,0,0
1666986625.555096,0,0,0,42.2293386598,-83.7398273158,0,0,0,0,0,0,0
1666986625.5749261,0,0,0,42.2293387474,-83.7398252172,0,0,0,0,0,0,0
1666986625.5949845,0,0,0,42.2293388354,-83.7398231173,0,0,0,0,0,0,0
1666986625.614956,0,0,0,42.2293389194,-83.7398210258,0,0,0,0,0,0,0
1666986625.634919,0,0,0,42.2293390089,-83.7398189285,0,0,0,0,0,0,0
1666986625.6549199,0,0,0,42.2293390964,-83.7398168264,0,0,0,0,0,0,0
1666986625.675002,0,0,0,42.2293391799,-83.7398147373,0,0,0,0,0,0,0
1666986625.6949933,0,0,0,42.2293392686,-83.7398126385,0,0,0,0,0,0,0
1666986625.7148662,0,0,0,42.2293393567,-83.7398105407,0,0,0,0,0,0,0
1666986625.7349808,0,0,0,42.2293394405,-83.7398084494,0,0,0,0,0,0,0
1666986625.7548485,0,0,0,42.2293395274,-83.7398063522,0,0,0,0,0,0,0
1666986625.774934,0,0,0,42.2293396146,-83.739804256,0,0,0,0,0,0,0
1666986625.7949996,0,0,0,42.2293396975,-83.7398021659,0,0,0,0,0,0,0
1666986625.8148746,0,0,0,42.2293397859,-83.7398000709,0,0,0,0,0,0,0
1666986625.8348749,0,0,0,42.2293398737,-83.7397979754,0,0,0,0,0,0,0
1666986625.854903,0,0,0,42.2293399574,-83.7397958872,0,0,0,0,0,0,0
1666986625.8749278,0,0,0,42.2293400469,-83.739793794,0,0,0,0,0,0,0
1666986625.8948734,0,0,0,42.2293401366,-83.7397917,0,0,0,0,0,0,0
1666986625.9149404,0,0,0,42.2293402216,-83.739789613,0,0,0,0,0,0,0
1666986625.9348972,0,0,0,42.2293403127,-83.7397875214,0,0,0,0,0,0,0
1666986625.9548974,0,0,0,42.2293404049,-83.7397854287,0,0,0,0,0,0,0
1666986625.9750152,0,0,0,42.2293404908,-83.7397833438,0,0,0,0,0,0,0
1666986625.9949257,0,0,0,42.2293405839,-83.7397812543,0,0,0,0,0,0,0
1666986626.0150228,0,0,0,42.2293406777,-83.7397791643,0,0,0,0,0,0,0
1666986626.0348783,0,0,0,42.2293407649,-83.7397770814,0,0,0,0,0,0,0
1666986626.0550337,0,0,0,42.2293408589,-83.7397749924,0,0,0,0,0,0,0
1666986626.0749817,0,0,0,42.2293409485,-83.7397729036,0,0,0,0,0,0,0
1666986626.0949488,0,0,0,42.2293410352,-83.7397708219,0,0,0,0,0,0,0
1666986626.1150134,0,0,0,42.2293411259,-83.7397687355,0,0,0,0,0,0,0
1666986626.1348512,0,0,0,42.2293412159,-83.7397666493,0,0,0,0,0,0,0
1666986626.1549087,0,0,0,42.2293413028,-83.7397645697,0,0,0,0,0,0,0
1666986626.1749158,0,0,0,42.2293413946,-83.7397624862,0,0,0,0,0,0,0
1666986626.1949573,0,0,0,42.2293414869,-83.7397604029,0,0,0,0,0,0,0
