Scenario,,Average lateral errors (m),Lateral error std. (m),False positive (%),False negative (%),Detection latency (s),ID switch time,Longest ID,MOTA,,Scenario,,Average lateral errors (m),Lateral error std. (m),False positive (%),False negative (%),Detection latency (s),ID switch time,Longest ID,MOTA,,
1, ,0.51,0.33,"6.63 (veh: 0.0, ped: 6.63)",1.9,0.153,1,0.51,0.91,,1, ,0.51,0.33,"6.63 (veh: 0.0, ped: 6.63)",1.9,0.153,1,0.51,0.91,,6.63
2, ,0.57,0.38,"3.55 (veh: 0.0, ped: 3.55)",0,0.08,1,0.53,0.96,,2, ,0.57,0.38,"3.55 (veh: 0.0, ped: 3.55)",0,0.08,1,0.53,0.96,,3.55
3, ,0.41,0.29,"1.41 (veh: 0.0, ped: 1.41)",6.67,NA,0,1,0.92,,3, ,0.41,0.29,"1.41 (veh: 0.0, ped: 1.41)",6.67,NA,0,1,0.92,,1.41
4, ,0.56,0.34,"0.0 (veh: 0.0, ped: 0.0)",9.97,NA,0,1,0.9,,4, ,0.56,0.34,"0.0 (veh: 0.0, ped: 0.0)",9.97,NA,0,1,0.9,,
5, ,0.48,0.33,"0.66 (veh: 0.0, ped: 0.66)",2.22,NA,1,0.76,0.97,,5, ,0.48,0.33,"0.66 (veh: 0.0, ped: 0.66)",2.22,NA,1,0.76,0.97,,0.66
6, ,0.67,0.34,"1.23 (veh: 0.0, ped: 1.23)",0,NA,0,1,0.99,,6, ,0.67,0.34,"1.23 (veh: 0.0, ped: 1.23)",0,NA,0,1,0.99,,1.23
7, ,0.54,0.3,"5.37 (veh: 0.0, ped: 5.37)",0,NA,0,1,0.94,,7, ,0.54,0.3,"5.37 (veh: 0.0, ped: 5.37)",0,NA,0,1,0.94,,5.37
8, ,0.56,0.35,"2.34 (veh: 0.0, ped: 2.34)",0,NA,0,1,0.98,,8, ,0.56,0.35,"2.34 (veh: 0.0, ped: 2.34)",0,NA,0,1,0.98,,2.34
9, ,0.39,0.26,"10.34 (veh: 1.38, ped: 8.97)",8.33,NA,1,0.98,0.81,,9, ,0.39,0.26,"10.34 (veh: 1.38, ped: 8.97)",8.33,NA,1,0.98,0.81,,10.34
10, ,0.47,0.34,"5.82 (veh: 0.0, ped: 5.82)",0.56,NA,0,1,0.93,,10, ,0.47,0.34,"5.82 (veh: 0.0, ped: 5.82)",0.56,NA,0,1,0.93,,5.82
11,Veh,0.53,0.31,"0.0 (veh: 0.0, ped: 0.0)",5.61,NA,2,0.5,0.94,,11,,0.53,0.31,"0.0 (veh: 0.0, ped: 0.0)",5.61,NA,2,0.5,0.94,,
11,Ped,0.35,0.27,3.48,3.87,NA,1,0.71,0.96,,12,,0.59,0.33,0,0,NA,1,0.52,1,,
12,Veh,0.59,0.33,0,0,NA,1,0.52,1,,13,Veh1,0.49,0.28,0.43,4,NA,2,0.5,0.95,,0.43
12,Ped,0.68,0.31,53.9,52.26,NA,0,1,0.48,,,Veh2,0.55,0.31,0.43,6.35,NA,1,0.5,0.94,,0.43
13,Veh1,0.49,0.28,0.43,4,NA,2,0.5,0.95,,14,Veh1,0.53,0.32,0,0,NA,1,0.51,1,,
13,Veh2,0.55,0.31,0.43,6.35,NA,1,0.5,0.94,,,Veh2,0.65,0.33,0,0,NA,1,0.53,1,,
13,Ped,0.81,0.38,75,87.78,NA,1,0.6,0.25,,15,Veh1,0.44,0.3,0,5.05,NA,1,0.55,1,,
14,Veh1,0.53,0.32,0,0,NA,1,0.51,1,,,Veh2,0.56,0.31,0,0,NA,1,0.55,1,,
14,Veh2,0.65,0.33,0,0,NA,1,0.53,1,,,,0.528,0.319,3.474,2.814,0.117,0.778,0.719,0.952,,3.473636364
14,Ped,0.87,0.4,58.28,16.3,NA,0,1,0.84,,,,,,,,,,,,,
15,Veh1,0.44,0.3,0,5.05,NA,1,0.55,1,,,,,,,,,,,,,
15,Veh2,0.56,0.31,0,0,NA,1,0.55,1,,,,,,,,,,,,,
,,,,,,,,,0.894090909,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.124444444,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Scenario,,Average lateral errors (m),Lateral error std. (m),False positive (%),False negative (%),Detection latency (s),ID switch time,Longest ID,MOTA,,,,,,,,,,,,,
11,Ped,0.35,0.27,3.48,3.87,NA,1,0.71,0.96,,,,,,,,,,,,,
12,Ped,0.68,0.31,53.9,52.26,NA,0,1,0.48,,,,,,,,,,,,,
13,Ped,0.81,0.38,75,87.78,NA,1,0.6,0.25,,,,,,,,,,,,,
14,Ped,0.87,0.4,58.28,16.3,NA,0,1,0.84,,,,,,,,,,,,,
