UTC Timestamp,id,lat,lon,msgCnt,secMark,speed,size.VehicleSize_width,size.VehicleSize_length
2022-12-19 10:00:00.146831,89,423009806,-836978778,92,174,0,190,450
2022-12-19 10:00:00.258466,89,423009806,-836978778,93,287,0,190,450
2022-12-19 10:00:00.346499,89,423009806,-836978778,94,376,0,190,450
2022-12-19 10:00:00.436568,89,423009806,-836978778,95,466,0,190,450
2022-12-19 10:00:00.539843,89,423009806,-836978778,96,569,0,190,450
2022-12-19 10:00:00.646497,89,423009806,-836978778,97,675,0,190,450
2022-12-19 10:00:00.758190,89,423009806,-836978778,98,785,0,190,450
2022-12-19 10:00:00.842709,89,423009824,-836978693,99,872,0,190,450
2022-12-19 10:00:00.934491,89,423009824,-836978693,100,964,0,190,450
2022-12-19 10:00:01.037205,89,423009806,-836978778,101,1067,0,190,450
2022-12-19 10:00:01.150001,89,423009806,-836978778,102,1179,0,190,450
2022-12-19 10:00:01.243618,89,423009806,-836978778,103,1273,0,190,450
2022-12-19 10:00:01.339430,89,423009788,-836978875,104,1369,0,190,450
2022-12-19 10:00:01.446552,89,423009788,-836978875,105,1476,0,190,450
2022-12-19 10:00:01.546497,89,423009788,-836978875,106,1576,0,190,450
2022-12-19 10:00:01.640048,89,423009788,-836978875,107,1669,0,190,450
2022-12-19 10:00:01.742973,89,423009788,-836978875,108,1772,0,190,450
2022-12-19 10:00:01.849790,89,423009788,-836978875,109,1878,0,190,450
2022-12-19 10:00:01.936629,89,423009788,-836978875,110,1966,0,190,450
2022-12-19 10:00:02.046575,89,423009788,-836978875,111,2076,0,190,450
2022-12-19 10:00:02.144510,89,423009788,-836978875,112,2174,0,190,450
2022-12-19 10:00:02.239440,89,423009788,-836978875,113,2269,0,190,450
2022-12-19 10:00:02.350382,89,423009788,-836978875,114,2380,0,190,450
2022-12-19 10:00:02.444176,89,423009788,-836978875,115,2473,0,190,450
2022-12-19 10:00:02.541573,89,423009788,-836978875,116,2570,0,190,450
2022-12-19 10:00:02.646204,89,423009788,-836978875,117,2675,0,190,450
2022-12-19 10:00:02.744307,89,423009788,-836978875,118,2774,0,190,450
2022-12-19 10:00:02.839605,89,423009788,-836978875,119,2869,0,190,450
2022-12-19 10:00:02.940201,89,423009788,-836978875,120,2970,0,190,450
2022-12-19 10:00:03.050026,89,423009788,-836978875,121,3079,0,190,450
2022-12-19 10:00:03.141964,89,423009797,-836978875,122,3171,0,190,450
2022-12-19 10:00:03.245728,89,423009797,-836978875,123,3275,0,190,450
2022-12-19 10:00:03.344173,89,423009797,-836978875,124,3374,0,190,450
2022-12-19 10:00:03.443270,89,423009815,-836978790,125,3473,0,190,450
2022-12-19 10:00:03.542488,89,423009815,-836978790,126,3572,0,190,450
2022-12-19 10:00:03.645964,89,423009815,-836978790,127,3675,0,190,450
2022-12-19 10:00:03.752309,89,423009824,-836978802,0,3782,0,190,450
2022-12-19 10:00:03.846348,89,423009806,-836978887,1,3876,0,190,450
2022-12-19 10:00:03.947305,89,423009806,-836978887,2,3977,0,190,450
2022-12-19 10:00:04.043905,89,423009815,-836978887,3,4073,0,190,450
2022-12-19 10:00:04.137802,89,423009797,-836978972,4,4167,0,190,450
2022-12-19 10:00:04.246295,89,423009797,-836978972,5,4275,0,190,450
2022-12-19 10:00:04.341667,89,423009806,-836978984,6,4371,57,190,450
2022-12-19 10:00:04.454574,89,423009797,-836979069,7,4484,67,190,450
2022-12-19 10:00:04.546289,89,423009815,-836979081,8,4574,87,190,450
2022-12-19 10:00:04.653395,89,423009797,-836979154,9,4681,96,190,450
2022-12-19 10:00:04.753587,89,423009797,-836979154,10,4783,98,190,450
2022-12-19 10:00:04.844112,89,423009797,-836979154,11,4874,95,190,450
2022-12-19 10:00:04.949788,89,423009806,-836979166,12,4979,89,190,450
2022-12-19 10:00:05.163531,89,423009788,-836979239,13,5190,92,190,450
2022-12-19 10:00:05.248736,89,423009788,-836979239,14,5278,90,190,450
2022-12-19 10:00:05.354475,89,423009779,-836979323,15,5384,101,190,450
2022-12-19 10:00:05.453919,89,423009779,-836979323,16,5483,103,190,450
2022-12-19 10:00:05.548242,89,423009770,-836979396,17,5577,115,190,450
2022-12-19 10:00:05.652534,89,423009770,-836979396,18,5682,118,190,450
2022-12-19 10:00:05.750112,89,423009779,-836979408,19,5780,115,190,450
2022-12-19 10:00:05.852877,89,423009770,-836979481,20,5882,123,190,450
2022-12-19 10:00:05.945652,89,423009752,-836979554,21,5975,137,190,450
2022-12-19 10:00:06.050352,89,423009770,-836979566,22,6080,141,190,450
2022-12-19 10:00:06.157632,89,423009761,-836979639,23,6187,152,190,450
2022-12-19 10:00:06.249628,89,423009743,-836979699,24,6279,183,190,450
2022-12-19 10:00:06.345170,89,423009734,-836979772,25,6375,194,190,450
2022-12-19 10:00:06.450516,89,423009725,-836979845,26,6480,191,190,450
2022-12-19 10:00:06.546432,89,423009716,-836979905,27,6576,195,190,450
2022-12-19 10:00:06.645499,89,423009725,-836979917,28,6675,187,190,450
2022-12-19 10:00:06.741653,89,423009716,-836979978,29,6772,187,190,450
2022-12-19 10:00:06.855918,89,423009734,-836979990,30,6885,177,190,450
2022-12-19 10:00:06.950537,89,423009716,-836980051,31,6979,190,190,450
2022-12-19 10:00:07.050218,89,423009716,-836980111,32,7079,188,190,450
2022-12-19 10:00:07.153144,89,423009707,-836980172,33,7182,191,190,450
2022-12-19 10:00:07.253363,89,423009698,-836980232,34,7282,197,190,450
