%time,field.header.seq,field.header.stamp,field.header.frame_id,field.status.status,field.status.service,field.latitude,field.longitude,field.altitude,field.position_covariance0,field.position_covariance1,field.position_covariance2,field.position_covariance3,field.position_covariance4,field.position_covariance5,field.position_covariance6,field.position_covariance7,field.position_covariance8,field.position_covariance_type
1671461847783490477,329677,1671461847814764231,gps,2,1,42.3009697228,-83.6979117788,272.315460205,0.000121,0.0,0.0,0.0,0.000169,0.0,0.0,0.0,0.002401,2
1671461847793285278,329678,1671461847824743920,gps,2,1,42.3009697231,-83.6979117788,272.315460205,0.000121,0.0,0.0,0.0,0.000169,0.0,0.0,0.0,0.002401,2
1671461847803366298,329679,1671461847834806410,gps,2,1,42.3009697233,-83.6979117788,272.315490723,0.000121,0.0,0.0,0.0,0.000169,0.0,0.0,0.0,0.002401,2
1671461847813412827,329680,1671461847844751575,gps,2,1,42.3009697219,-83.6979117781,272.31552124,0.000121,0.0,0.0,0.0,0.000169,0.0,0.0,0.0,0.002401,2
1671461847823320422,329681,1671461847854730602,gps,2,1,42.3009697221,-83.697911778,272.315551758,0.000121,0.0,0.0,0.0,0.000169,0.0,0.0,0.0,0.002401,2
1671461847833363582,329682,1671461847864792821,gps,2,1,42.3009697223,-83.697911778,272.315582275,0.000121,0.0,0.0,0.0,0.000169,0.0,0.0,0.0,0.002401,2
1671461847843274393,329683,1671461847874725272,gps,2,1,42.3009697209,-83.6979117773,272.315612793,0.000121,0.0,0.0,0.0,0.000169,0.0,0.0,0.0,0.002401,2
1671461847853302819,329684,1671461847884735517,gps,2,1,42.3009697211,-83.6979117772,272.315643311,0.000121,0.0,0.0,0.0,0.000169,0.0,0.0,0.0,0.002401,2
1671461847863596219,329685,1671461847894811799,gps,2,1,42.3009697214,-83.6979117772,272.315643311,0.000121,0.0,0.0,0.0,0.000169,0.0,0.0,0.0,0.002401,2
1671461847873384618,329686,1671461847904714791,gps,2,1,42.3009697201,-83.6979117765,272.315673828,0.000121,0.0,0.0,0.0,0.000169,0.0,0.0,0.0,0.002401,2
1671461847883167640,329687,1671461847914740240,gps,2,1,42.3009697203,-83.6979117765,272.315704346,0.000121,0.0,0.0,0.0,0.000169,0.0,0.0,0.0,0.002401,2
1671461847893567276,329688,1671461847924823519,gps,2,1,42.3009697205,-83.6979117764,272.315734863,0.000121,0.0,0.0,0.0,0.000169,0.0,0.0,0.0,0.002401,2
1671461847903565625,329689,1671461847934749416,gps,2,1,42.3009697194,-83.6979117759,272.315734863,0.000121,0.0,0.0,0.0,0.000169,0.0,0.0,0.0,0.002401,2
1671461847913532637,329690,1671461847944750656,gps,2,1,42.3009697196,-83.6979117759,272.315765381,0.000121,0.0,0.0,0.0,0.000169,0.0,0.0,0.0,0.002401,2
1671461847923717841,329691,1671461847954797243,gps,2,1,42.3009697198,-83.6979117758,272.315795898,0.000121,0.0,0.0,0.0,0.000169,0.0,0.0,0.0,0.002401,2
1671461847933449397,329692,1671461847964743426,gps,2,1,42.3009697187,-83.6979117753,272.315826416,0.000121,0.0,0.0,0.0,0.000169,0.0,0.0,0.0,0.002401,2
1671461847943336842,329693,1671461847974799847,gps,2,1,42.3009697189,-83.6979117752,272.315856934,0.000121,0.0,0.0,0.0,0.000169,0.0,0.0,0.0,0.002401,2
1671461847953353674,329694,1671461847984743219,gps,2,1,42.3009697191,-83.6979117751,272.315887451,0.000121,0.0,0.0,0.0,0.000169,0.0,0.0,0.0,0.002401,2
1671461847963285808,329695,1671461847994735372,gps,2,1,42.300969718,-83.6979117747,272.315887451,0.000121,0.0,0.0,0.0,0.000169,0.0,0.0,0.0,0.002401,2
1671461847973203190,329696,1671461848004739399,gps,2,1,42.3009697182,-83.6979117746,272.315917969,0.000121,0.0,0.0,0.0,0.000169,0.0,0.0,0.0,0.002401,2
1671461847983354591,329697,1671461848014791517,gps,2,1,42.3009697184,-83.6979117745,272.315948486,0.000121,0.0,0.0,0.0,0.000169,0.0,0.0,0.0,0.002401,2
1671461847993252314,329698,1671461848024818202,gps,2,1,42.3009697174,-83.6979117741,272.315979004,0.000121,0.0,0.0,0.0,0.000169,0.0,0.0,0.0,0.002401,2
1671461848003161862,329699,1671461848034823973,gps,2,1,42.3009697176,-83.697911774,272.316009521,0.000121,0.0,0.0,0.0,0.000169,0.0,0.0,0.0,0.002401,2
1671461848013540946,329700,1671461848044879511,gps,2,1,42.3009697178,-83.697911774,272.316040039,0.000121,0.0,0.0,0.0,0.000169,0.0,0.0,0.0,0.002401,2
