%time,field.header.seq,field.header.stamp,field.header.frame_id,field.status.status,field.status.service,field.latitude,field.longitude,field.altitude,field.position_covariance0,field.position_covariance1,field.position_covariance2,field.position_covariance3,field.position_covariance4,field.position_covariance5,field.position_covariance6,field.position_covariance7,field.position_covariance8,field.position_covariance_type
1671465829263727582,727825,1671465829275989217,gps,2,1,42.3009687895,-83.6976852681,272.754302979,0.0001,0.0,0.0,0.0,0.000121,0.0,0.0,0.0,0.000961,2
1671465829273705396,727826,1671465829286014985,gps,2,1,42.3009687899,-83.697685268,272.754302979,0.0001,0.0,0.0,0.0,0.000121,0.0,0.0,0.0,0.000961,2
1671465829283582571,727827,1671465829295973726,gps,2,1,42.3009687902,-83.6976852679,272.754302979,0.0001,0.0,0.0,0.0,0.000121,0.0,0.0,0.0,0.000961,2
1671465829293632369,727828,1671465829305996643,gps,2,1,42.3009687896,-83.6976852704,272.754302979,0.0001,0.0,0.0,0.0,0.000121,0.0,0.0,0.0,0.000961,2
1671465829303935787,727829,1671465829316051603,gps,2,1,42.30096879,-83.6976852703,272.754302979,0.0001,0.0,0.0,0.0,0.000121,0.0,0.0,0.0,0.000961,2
1671465829313692846,727830,1671465829325976803,gps,2,1,42.3009687903,-83.6976852702,272.754333496,0.0001,0.0,0.0,0.0,0.000121,0.0,0.0,0.0,0.000961,2
1671465829324043223,727831,1671465829335964271,gps,2,1,42.3009687896,-83.6976852726,272.754333496,0.0001,0.0,0.0,0.0,0.000121,0.0,0.0,0.0,0.000961,2
1671465829333990355,727832,1671465829345960157,gps,2,1,42.3009687899,-83.6976852725,272.754333496,0.0001,0.0,0.0,0.0,0.000121,0.0,0.0,0.0,0.000961,2
1671465829343981392,727833,1671465829356043789,gps,2,1,42.3009687903,-83.6976852725,272.754333496,0.0001,0.0,0.0,0.0,0.000121,0.0,0.0,0.0,0.000961,2
1671465829353980376,727834,1671465829365970391,gps,2,1,42.3009687896,-83.6976852748,272.754333496,0.0001,0.0,0.0,0.0,0.000121,0.0,0.0,0.0,0.000961,2
1671465829363566899,727835,1671465829375969722,gps,2,1,42.3009687898,-83.6976852748,272.754364014,0.0001,0.0,0.0,0.0,0.000121,0.0,0.0,0.0,0.000961,2
1671465829373873718,727836,1671465829386060002,gps,2,1,42.30096879,-83.6976852746,272.754364014,0.0001,0.0,0.0,0.0,0.000121,0.0,0.0,0.0,0.000961,2
1671465829383949324,727837,1671465829395974721,gps,2,1,42.3009687895,-83.6976852768,272.754364014,0.0001,0.0,0.0,0.0,0.000121,0.0,0.0,0.0,0.000961,2
1671465829393861062,727838,1671465829405988514,gps,2,1,42.3009687896,-83.6976852768,272.754364014,0.0001,0.0,0.0,0.0,0.000121,0.0,0.0,0.0,0.000961,2
1671465829404156518,727839,1671465829416168252,gps,2,1,42.3009687898,-83.6976852767,272.754364014,0.0001,0.0,0.0,0.0,0.000121,0.0,0.0,0.0,0.000961,2
1671465829413795433,727840,1671465829425943242,gps,2,1,42.3009687893,-83.6976852789,272.754364014,0.0001,0.0,0.0,0.0,0.000121,0.0,0.0,0.0,0.000961,2
1671465829423700785,727841,1671465829436019331,gps,2,1,42.3009687893,-83.6976852787,272.754364014,0.0001,0.0,0.0,0.0,0.000121,0.0,0.0,0.0,0.000961,2
1671465829433702896,727842,1671465829445966928,gps,2,1,42.3009687895,-83.6976852788,272.754394531,0.0001,0.0,0.0,0.0,0.000121,0.0,0.0,0.0,0.000961,2
1671465829443607502,727843,1671465829455949800,gps,2,1,42.300968789,-83.6976852809,272.754364014,0.0001,0.0,0.0,0.0,0.000121,0.0,0.0,0.0,0.000961,2
1671465829453914397,727844,1671465829466030729,gps,2,1,42.3009687891,-83.697685281,272.754364014,0.0001,0.0,0.0,0.0,0.000121,0.0,0.0,0.0,0.000961,2
1671465829464021111,727845,1671465829476022159,gps,2,1,42.3009687893,-83.697685281,272.754394531,0.0001,0.0,0.0,0.0,0.000121,0.0,0.0,0.0,0.000961,2
1671465829473744494,727846,1671465829486084803,gps,2,1,42.3009687888,-83.6976852831,272.754364014,0.0001,0.0,0.0,0.0,0.000121,0.0,0.0,0.0,0.000961,2
1671465829483915123,727847,1671465829495961546,gps,2,1,42.3009687889,-83.6976852832,272.754364014,0.0001,0.0,0.0,0.0,0.000121,0.0,0.0,0.0,0.000961,2
1671465829493733919,727848,1671465829506026024,gps,2,1,42.3009687891,-83.6976852832,272.754364014,0.0001,0.0,0.0,0.0,0.000121,0.0,0.0,0.0,0.000961,2
1671465829503913781,727849,1671465829516087488,gps,2,1,42.3009687887,-83.6976852853,272.754364014,0.0001,0.0,0.0,0.0,0.000121,0.0,0.0,0.0,0.000961,2
1671465829513874420,727850,1671465829526049969,gps,2,1,42.3009687888,-83.6976852853,272.754333496,0.0001,0.0,0.0,0.0,0.000121,0.0,0.0,0.0,0.000961,2
1671465829523775744,727851,1671465829536026146,gps,2,1,42.3009687889,-83.6976852854,272.754333496,0.0001,0.0,0.0,0.0,0.000121,0.0,0.0,0.0,0.000961,2
1671465829533804840,727852,1671465829546050002,gps,2,1,42.3009687886,-83.6976852874,272.754333496,0.0001,0.0,0.0,0.0,0.000121,0.0,0.0,0.0,0.000961,2
1671465829543796530,727853,1671465829556070076,gps,2,1,42.3009687888,-83.6976852875,272.754333496,0.0001,0.0,0.0,0.0,0.000121,0.0,0.0,0.0,0.000961,2
1671465829553691786,727854,1671465829566058401,gps,2,1,42.300968789,-83.6976852876,272.754333496,0.0001,0.0,0.0,0.0,0.000121,0.0,0.0,0.0,0.000961,2
1671465829563626185,727855,1671465829576044617,gps,2,1,42.3009687891,-83.6976852883,272.754180908,0.0001,0.0,0.0,0.0,0.000121,0.0,0.0,0.0,0.000961,2
1671465829573657394,727856,1671465829586066037,gps,2,1,42.3009687894,-83.6976852883,272.754180908,0.0001,0.0,0.0,0.0,0.000121,0.0,0.0,0.0,0.000961,2
1671465829584138967,727857,1671465829596079145,gps,2,1,42.3009687897,-83.6976852884,272.754180908,0.0001,0.0,0.0,0.0,0.000121,0.0,0.0,0.0,0.000961,2
1671465829593688564,727858,1671465829605988955,gps,2,1,42.3009687898,-83.6976852891,272.75402832,0.0001,0.0,0.0,0.0,0.000121,0.0,0.0,0.0,0.000961,2
1671465829603911287,727859,1671465829615971263,gps,2,1,42.3009687901,-83.6976852892,272.75402832,0.0001,0.0,0.0,0.0,0.000121,0.0,0.0,0.0,0.000961,2
1671465829614105424,727860,1671465829626047945,gps,2,1,42.3009687904,-83.6976852893,272.754058838,0.0001,0.0,0.0,0.0,0.000121,0.0,0.0,0.0,0.000961,2
1671465829623825320,727861,1671465829635968585,gps,2,1,42.3009687906,-83.6976852899,272.75390625,0.0001,0.0,0.0,0.0,0.000121,0.0,0.0,0.0,0.000961,2
1671465829633695251,727862,1671465829645985348,gps,2,1,42.3009687908,-83.6976852899,272.75390625,0.0001,0.0,0.0,0.0,0.000121,0.0,0.0,0.0,0.000961,2
1671465829643676337,727863,1671465829656061583,gps,2,1,42.3009687912,-83.69768529,272.753936768,0.0001,0.0,0.0,0.0,0.000121,0.0,0.0,0.0,0.000961,2
1671465829653822588,727864,1671465829666052596,gps,2,1,42.3009687911,-83.6976852906,272.75378418,0.0001,0.0,0.0,0.0,0.000121,0.0,0.0,0.0,0.000961,2
1671465829663661933,727865,1671465829675967540,gps,2,1,42.3009687913,-83.6976852907,272.75378418,0.0001,0.0,0.0,0.0,0.000121,0.0,0.0,0.0,0.000961,2
1671465829673640802,727866,1671465829686043904,gps,2,1,42.3009687915,-83.6976852907,272.753814697,0.0001,0.0,0.0,0.0,0.000121,0.0,0.0,0.0,0.000961,2
1671465829683667697,727867,1671465829695956234,gps,2,1,42.3009687915,-83.6976852912,272.753692627,0.0001,0.0,0.0,0.0,0.000121,0.0,0.0,0.0,0.000961,2
1671465829693638259,727868,1671465829705967945,gps,2,1,42.3009687916,-83.6976852912,272.753662109,0.0001,0.0,0.0,0.0,0.000121,0.0,0.0,0.0,0.000961,2
1671465829703642997,727869,1671465829716040411,gps,2,1,42.3009687917,-83.6976852912,272.753662109,0.0001,0.0,0.0,0.0,0.000121,0.0,0.0,0.0,0.000961,2
1671465829713636310,727870,1671465829725967313,gps,2,1,42.3009687916,-83.6976852916,272.753540039,0.0001,0.0,0.0,0.0,0.000121,0.0,0.0,0.0,0.000961,2
1671465829724028850,727871,1671465829736086528,gps,2,1,42.3009687917,-83.6976852915,272.753540039,0.0001,0.0,0.0,0.0,0.000121,0.0,0.0,0.0,0.000961,2
1671465829733922193,727872,1671465829746048219,gps,2,1,42.3009687918,-83.6976852915,272.753509521,0.0001,0.0,0.0,0.0,0.000121,0.0,0.0,0.0,0.000961,2
1671465829743835462,727873,1671465829755969622,gps,2,1,42.3009687916,-83.6976852919,272.753387451,0.0001,0.0,0.0,0.0,0.000121,0.0,0.0,0.0,0.000961,2
1671465829753690313,727874,1671465829766006123,gps,2,1,42.3009687917,-83.6976852918,272.753356934,0.0001,0.0,0.0,0.0,0.000121,0.0,0.0,0.0,0.000961,2
1671465829764038256,727875,1671465829776048059,gps,2,1,42.3009687919,-83.6976852918,272.753326416,0.0001,0.0,0.0,0.0,0.000121,0.0,0.0,0.0,0.000961,2
1671465829773700196,727876,1671465829785965933,gps,2,1,42.3009687918,-83.6976852922,272.753204346,0.0001,0.0,0.0,0.0,0.000121,0.0,0.0,0.0,0.000961,2
1671465829783848468,727877,1671465829795973093,gps,2,1,42.300968792,-83.6976852921,272.753204346,0.0001,0.0,0.0,0.0,0.000121,0.0,0.0,0.0,0.000961,2
1671465829793716210,727878,1671465829806027652,gps,2,1,42.3009687921,-83.697685292,272.753204346,0.0001,0.0,0.0,0.0,0.000121,0.0,0.0,0.0,0.000961,2
1671465829803629790,727879,1671465829815969125,gps,2,1,42.3009687921,-83.6976852924,272.753082275,0.0001,0.0,0.0,0.0,0.000121,0.0,0.0,0.0,0.000961,2
1671465829813986803,727880,1671465829825986919,gps,2,1,42.3009687924,-83.6976852924,272.753082275,0.0001,0.0,0.0,0.0,0.000121,0.0,0.0,0.0,0.000961,2
1671465829823784103,727881,1671465829836027400,gps,2,1,42.3009687926,-83.6976852923,272.753082275,0.0001,0.0,0.0,0.0,0.000121,0.0,0.0,0.0,0.000961,2
1671465829833830943,727882,1671465829845970712,gps,2,1,42.3009687926,-83.6976852928,272.752990723,0.0001,0.0,0.0,0.0,0.000121,0.0,0.0,0.0,0.000961,2
1671465829843624547,727883,1671465829855957698,gps,2,1,42.300968793,-83.6976852928,272.75302124,0.0001,0.0,0.0,0.0,0.000121,0.0,0.0,0.0,0.000961,2
1671465829853919093,727884,1671465829866104558,gps,2,1,42.3009687932,-83.6976852929,272.75302124,0.0001,0.0,0.0,0.0,0.000121,0.0,0.0,0.0,0.000961,2
1671465829863592131,727885,1671465829875954440,gps,2,1,42.3009687933,-83.6976852934,272.752929688,0.0001,0.0,0.0,0.0,0.000121,0.0,0.0,0.0,0.000961,2
1671465829873505903,727886,1671465829885959923,gps,2,1,42.3009687937,-83.6976852936,272.752929688,0.0001,0.0,0.0,0.0,0.000121,0.0,0.0,0.0,0.000961,2
1671465829883874444,727887,1671465829896054773,gps,2,1,42.3009687941,-83.6976852936,272.752960205,0.0001,0.0,0.0,0.0,0.000121,0.0,0.0,0.0,0.000961,2
1671465829893770206,727888,1671465829905972893,gps,2,1,42.3009687942,-83.6976852944,272.752868652,0.0001,0.0,0.0,0.0,0.000121,0.0,0.0,0.0,0.000961,2
1671465829903858894,727889,1671465829916064159,gps,2,1,42.3009687947,-83.6976852946,272.752838135,0.0001,0.0,0.0,0.0,0.000121,0.0,0.0,0.0,0.000961,2
1671465829913869203,727890,1671465829926038271,gps,2,1,42.300968795,-83.6976852947,272.752868652,0.0001,0.0,0.0,0.0,0.000121,0.0,0.0,0.0,0.000961,2
1671465829923870018,727891,1671465829935950405,gps,2,1,42.3009687951,-83.6976852954,272.752746582,0.0001,0.0,0.0,0.0,0.000121,0.0,0.0,0.0,0.000961,2
1671465829933586209,727892,1671465829945970626,gps,2,1,42.3009687954,-83.6976852956,272.752746582,0.0001,0.0,0.0,0.0,0.000121,0.0,0.0,0.0,0.000961,2
1671465829943662710,727893,1671465829956024304,gps,2,1,42.3009687958,-83.6976852957,272.752746582,0.0001,0.0,0.0,0.0,0.000121,0.0,0.0,0.0,0.000961,2
1671465829953615997,727894,1671465829965962933,gps,2,1,42.3009687958,-83.6976852965,272.752655029,0.0001,0.0,0.0,0.0,0.000121,0.0,0.0,0.0,0.000961,2
1671465829963604094,727895,1671465829975967640,gps,2,1,42.3009687961,-83.6976852966,272.752624512,0.0001,0.0,0.0,0.0,0.000121,0.0,0.0,0.0,0.000961,2
