%time,field.header.seq,field.header.stamp,field.header.frame_id,field.status.status,field.status.service,field.latitude,field.longitude,field.altitude,field.position_covariance0,field.position_covariance1,field.position_covariance2,field.position_covariance3,field.position_covariance4,field.position_covariance5,field.position_covariance6,field.position_covariance7,field.position_covariance8,field.position_covariance_type
1672944304918880394,122269,1672944304934992475,gps,2,1,42.3009765354,-83.6977814556,272.77331543,0.001156,0.0,0.0,0.0,0.001156,0.0,0.0,0.0,0.005329,2
1672944304939533665,122270,1672944304954999376,gps,2,1,42.3009765352,-83.6977814553,272.773345947,0.001156,0.0,0.0,0.0,0.001156,0.0,0.0,0.0,0.005329,2
1672944304959229330,122271,1672944304974983792,gps,2,1,42.3009765333,-83.697781454,272.773376465,0.001156,0.0,0.0,0.0,0.001156,0.0,0.0,0.0,0.005329,2
1672944304979295887,122272,1672944304994985669,gps,2,1,42.300976533,-83.6977814541,272.773406982,0.001156,0.0,0.0,0.0,0.001156,0.0,0.0,0.0,0.005329,2
1672944304999210804,122273,1672944305014988400,gps,2,1,42.3009765326,-83.6977814543,272.773406982,0.001156,0.0,0.0,0.0,0.001156,0.0,0.0,0.0,0.005329,2
1672944305019681721,122274,1672944305035107348,gps,2,1,42.3009765306,-83.6977814538,272.7734375,0.001156,0.0,0.0,0.0,0.001156,0.0,0.0,0.0,0.005329,2
1672944305039479840,122275,1672944305055187885,gps,2,1,42.3009765301,-83.6977814553,272.773406982,0.001156,0.0,0.0,0.0,0.001156,0.0,0.0,0.0,0.005329,2
1672944305059486585,122276,1672944305074978257,gps,2,1,42.3009765302,-83.6977814576,272.773284912,0.001156,0.0,0.0,0.0,0.001156,0.0,0.0,0.0,0.005329,2
1672944305079593813,122277,1672944305095097611,gps,2,1,42.3009765283,-83.697781459,272.773284912,0.001156,0.0,0.0,0.0,0.001156,0.0,0.0,0.0,0.005329,2
1672944305099355026,122278,1672944305115102374,gps,2,1,42.3009765285,-83.6977814635,272.773132324,0.001156,0.0,0.0,0.0,0.001156,0.0,0.0,0.0,0.005329,2
1672944305119085450,122279,1672944305135143972,gps,2,1,42.3009765285,-83.6977814683,272.773010254,0.001156,0.0,0.0,0.0,0.001156,0.0,0.0,0.0,0.005329,2
1672944305139558683,122280,1672944305155083049,gps,2,1,42.3009765268,-83.6977814728,272.772979736,0.001156,0.0,0.0,0.0,0.001156,0.0,0.0,0.0,0.005329,2
1672944305159453538,122281,1672944305175046053,gps,2,1,42.300976527,-83.6977814811,272.772857666,0.001156,0.0,0.0,0.0,0.001156,0.0,0.0,0.0,0.005329,2
1672944305179495972,122282,1672944305194971082,gps,2,1,42.3009765279,-83.69778149,272.772705078,0.001156,0.0,0.0,0.0,0.001156,0.0,0.0,0.0,0.005329,2
1672944305199618673,122283,1672944305214974362,gps,2,1,42.3009765264,-83.6977814985,272.772674561,0.001156,0.0,0.0,0.0,0.001156,0.0,0.0,0.0,0.005329,2
1672944305219594484,122284,1672944305235043087,gps,2,1,42.3009765275,-83.6977815114,272.772491455,0.001156,0.0,0.0,0.0,0.001156,0.0,0.0,0.0,0.005329,2
1672944305239290217,122285,1672944305254984181,gps,2,1,42.3009765285,-83.6977815243,272.772369385,0.001156,0.0,0.0,0.0,0.001156,0.0,0.0,0.0,0.005329,2
1672944305259457897,122286,1672944305274993454,gps,2,1,42.3009765272,-83.6977815374,272.77230835,0.001156,0.0,0.0,0.0,0.001156,0.0,0.0,0.0,0.005329,2
1672944305279442098,122287,1672944305295064453,gps,2,1,42.3009765285,-83.6977815548,272.772155762,0.001156,0.0,0.0,0.0,0.001156,0.0,0.0,0.0,0.005329,2
1672944305299143470,122288,1672944305314959864,gps,2,1,42.3009765294,-83.6977815724,272.772003174,0.001156,0.0,0.0,0.0,0.001156,0.0,0.0,0.0,0.005329,2
1672944305318998280,122289,1672944305335060470,gps,2,1,42.3009765287,-83.6977815902,272.771972656,0.001156,0.0,0.0,0.0,0.001156,0.0,0.0,0.0,0.005329,2
1672944305339469084,122290,1672944305355029651,gps,2,1,42.3009765304,-83.6977816125,272.771850586,0.001156,0.0,0.0,0.0,0.001156,0.0,0.0,0.0,0.005329,2
1672944305359297454,122291,1672944305374978359,gps,2,1,42.300976532,-83.6977816351,272.771697998,0.001156,0.0,0.0,0.0,0.001156,0.0,0.0,0.0,0.005329,2
1672944305379093029,122292,1672944305395065547,gps,2,1,42.3009765322,-83.6977816581,272.77166748,0.001156,0.0,0.0,0.0,0.001156,0.0,0.0,0.0,0.005329,2
1672944305399111824,122293,1672944305415115472,gps,2,1,42.3009765346,-83.6977816857,272.77154541,0.001156,0.0,0.0,0.0,0.001156,0.0,0.0,0.0,0.005329,2
1672944305419023797,122294,1672944305435041691,gps,2,1,42.3009765369,-83.6977817132,272.771453857,0.001156,0.0,0.0,0.0,0.001156,0.0,0.0,0.0,0.005329,2
1672944305439561745,122295,1672944305455088415,gps,2,1,42.3009765379,-83.6977817418,272.77142334,0.001156,0.0,0.0,0.0,0.001156,0.0,0.0,0.0,0.005329,2
1672944305459208357,122296,1672944305474972025,gps,2,1,42.3009765407,-83.6977817748,272.771331787,0.001156,0.0,0.0,0.0,0.001156,0.0,0.0,0.0,0.005329,2
1672944305480020332,122297,1672944305495012105,gps,2,1,42.3009765435,-83.6977818082,272.771240234,0.001156,0.0,0.0,0.0,0.001156,0.0,0.0,0.0,0.005329,2
1672944305499426391,122298,1672944305515067059,gps,2,1,42.3009765449,-83.6977818432,272.771240234,0.001156,0.0,0.0,0.0,0.001156,0.0,0.0,0.0,0.005329,2
1672944305519234466,122299,1672944305534994419,gps,2,1,42.3009765474,-83.6977818844,272.771148682,0.001156,0.0,0.0,0.0,0.001156,0.0,0.0,0.0,0.005329,2
1672944305539272390,122300,1672944305555148371,gps,2,1,42.3009765499,-83.6977819259,272.771057129,0.001156,0.0,0.0,0.0,0.001156,0.0,0.0,0.0,0.005329,2
1672944305559095570,122301,1672944305575111175,gps,2,1,42.3009765512,-83.697781969,272.771026611,0.001156,0.0,0.0,0.0,0.001156,0.0,0.0,0.0,0.005329,2
1672944305579223512,122302,1672944305595097577,gps,2,1,42.300976554,-83.6977820199,272.770965576,0.001156,0.0,0.0,0.0,0.001156,0.0,0.0,0.0,0.005329,2
1672944305599200133,122303,1672944305614966737,gps,2,1,42.300976557,-83.6977820713,272.770812988,0.001156,0.0,0.0,0.0,0.001156,0.0,0.0,0.0,0.005329,2
1672944305619320595,122304,1672944305635232130,gps,2,1,42.3009765578,-83.697782124,272.770812988,0.001156,0.0,0.0,0.0,0.001156,0.0,0.0,0.0,0.005329,2
1672944305639168867,122305,1672944305655000048,gps,2,1,42.3009765602,-83.6977821852,272.770690918,0.001156,0.0,0.0,0.0,0.001156,0.0,0.0,0.0,0.005329,2
1672944305659214538,122306,1672944305675006402,gps,2,1,42.3009765624,-83.6977822468,272.770568848,0.001156,0.0,0.0,0.0,0.001156,0.0,0.0,0.0,0.005329,2
1672944305679436122,122307,1672944305695066779,gps,2,1,42.3009765629,-83.6977823103,272.77053833,0.001156,0.0,0.0,0.0,0.001156,0.0,0.0,0.0,0.005329,2
1672944305699085288,122308,1672944305714994322,gps,2,1,42.300976565,-83.6977823827,272.770385742,0.001156,0.0,0.0,0.0,0.001156,0.0,0.0,0.0,0.005329,2
