%time,field.header.seq,field.header.stamp,field.header.frame_id,field.status.status,field.status.service,field.latitude,field.longitude,field.altitude,field.position_covariance0,field.position_covariance1,field.position_covariance2,field.position_covariance3,field.position_covariance4,field.position_covariance5,field.position_covariance6,field.position_covariance7,field.position_covariance8,field.position_covariance_type
1672944875070479160,150777,1672944875097556878,gps,2,1,42.3008963903,-83.6992162936,271.229278564,0.001089,0.0,0.0,0.0,0.001089,0.0,0.0,0.0,0.0049,2
1672944875090372545,150778,1672944875117551898,gps,2,1,42.3008963854,-83.6992162958,271.229553223,0.001089,0.0,0.0,0.0,0.001089,0.0,0.0,0.0,0.0049,2
1672944875111074463,150779,1672944875137469196,gps,2,1,42.3008963807,-83.6992162979,271.229797363,0.001089,0.0,0.0,0.0,0.001089,0.0,0.0,0.0,0.0049,2
1672944875130856000,150780,1672944875157439895,gps,2,1,42.3008963827,-83.6992162966,271.229705811,0.001089,0.0,0.0,0.0,0.001089,0.0,0.0,0.0,0.0049,2
1672944875150496036,150781,1672944875177467058,gps,2,1,42.3008963786,-83.6992162989,271.229919434,0.001089,0.0,0.0,0.0,0.001089,0.0,0.0,0.0,0.0049,2
1672944875170347781,150782,1672944875197456059,gps,2,1,42.3008963746,-83.6992163012,271.230133057,0.001089,0.0,0.0,0.0,0.001089,0.0,0.0,0.0,0.0049,2
1672944875190744619,150783,1672944875217435046,gps,2,1,42.3008963768,-83.6992163003,271.230041504,0.001089,0.0,0.0,0.0,0.001089,0.0,0.0,0.0,0.0049,2
1672944875210606246,150784,1672944875237418047,gps,2,1,42.3008963726,-83.6992163022,271.230224609,0.001089,0.0,0.0,0.0,0.001089,0.0,0.0,0.0,0.0049,2
1672944875230558420,150785,1672944875257422393,gps,2,1,42.3008963686,-83.6992163041,271.230407715,0.001089,0.0,0.0,0.0,0.001089,0.0,0.0,0.0,0.0049,2
1672944875250352170,150786,1672944875277351891,gps,2,1,42.3008963711,-83.6992163031,271.230316162,0.001089,0.0,0.0,0.0,0.001089,0.0,0.0,0.0,0.0049,2
1672944875270826239,150787,1672944875297481420,gps,2,1,42.300896367,-83.6992163043,271.23046875,0.001089,0.0,0.0,0.0,0.001089,0.0,0.0,0.0,0.0049,2
1672944875290984900,150788,1672944875317544627,gps,2,1,42.3008963631,-83.6992163053,271.23059082,0.001089,0.0,0.0,0.0,0.001089,0.0,0.0,0.0,0.0049,2
1672944875311211421,150789,1672944875337566879,gps,2,1,42.3008963645,-83.6992163027,271.23046875,0.001089,0.0,0.0,0.0,0.001089,0.0,0.0,0.0,0.0049,2
1672944875330842268,150790,1672944875357509574,gps,2,1,42.3008963585,-83.6992163022,271.230529785,0.001089,0.0,0.0,0.0,0.001089,0.0,0.0,0.0,0.0049,2
1672944875350823426,150791,1672944875377462588,gps,2,1,42.3008963526,-83.6992163014,271.230560303,0.001089,0.0,0.0,0.0,0.001089,0.0,0.0,0.0,0.0049,2
1672944875370495321,150792,1672944875397451463,gps,2,1,42.3008963514,-83.6992162964,271.230407715,0.001089,0.0,0.0,0.0,0.001089,0.0,0.0,0.0,0.0049,2
